"id","country"
"5uwns89zht","NDF"
NA,"NDF"
NA,"NDF"
NA,"NDF"
NA,"NDF"
"szx28ujmhf","NDF"
"guenkfjcbq","NDF"
NA,"NDF"
NA,"NDF"
NA,"NDF"
NA,"NDF"
"fyomoivygn","NDF"
"iq4kkd5oan","NDF"
NA,"NDF"
NA,"NDF"
"eq6fy0m4vc","NDF"
NA,"NDF"
"q5pibqdous","US"
"i0sc6d3j8s","NDF"
"br5mcrsqzn","NDF"
"rddbczuxx1","NDF"
NA,"NDF"
"sxpkaxep8n","NDF"
NA,"NDF"
NA,"NDF"
"ovc6nwn6mj","NDF"
"n10skstp90","NDF"
NA,"NDF"
"d45nngmojp","US"
NA,"NDF"
"qmu1dyhecs","NDF"
"zh9czv7f70","NDF"
NA,"NDF"
"e3slm56xll","NDF"
NA,"NDF"
"axonoz3dej","US"
"vhds8tixz6","NDF"
"xp1zfu6j6u","NDF"
"uuo66r9x53","NDF"
"kkwypqtlra","NDF"
NA,"NDF"
"0cvk7jktso","NDF"
"c4q1tm2y1k","NDF"
"vuwfq20pw3","NDF"
"t8hk5t7mcf","NDF"
"p2l7d6qu1u","NDF"
NA,"NDF"
NA,"NDF"
"hiv4ovzlub","NDF"
"ckmvpcz1s0","NDF"
NA,"NDF"
NA,"NDF"
"6n6tybnvcx","NDF"
NA,"NDF"
NA,"NDF"
"m6bodat9ft","NDF"
"mqinin79lg","NDF"
NA,"NDF"
"kzc1d9lye5","US"
NA,"NDF"
"qztknm6kb7","NDF"
NA,"NDF"
"kkbmwxa5ml","NDF"
"innr5prey9","NDF"
NA,"NDF"
"wkfv2nvsc2","NDF"
"ebts6m7xq4","NDF"
"mzf3jtgyaz","NDF"
"zefd7yyia9","NDF"
"u9bl58wtlg","NDF"
"3ai02kkqgq","NDF"
NA,"NDF"
"cg09wn6ytu","NDF"
NA,"NDF"
"h7m6kvw83d","NDF"
"v08shve4h2","NDF"
"suovt49r3u","NDF"
NA,"NDF"
"ur7jeee2tc","NDF"
NA,"NDF"
"q2aien1lz2","US"
NA,"NDF"
"99vpo9fj5d","NDF"
NA,"NDF"
NA,"NDF"
NA,"NDF"
"84r9982fw1","NDF"
"t3mg621lt3","NDF"
"9psr4ramhc","NDF"
NA,"NDF"
NA,"NDF"
"ukubebj02j","NDF"
NA,"NDF"
NA,"NDF"
NA,"NDF"
"qm8p85kg9a","NDF"
NA,"NDF"
"le73ew175t","NDF"
"h8csbbeo3y","US"
"cqikhghdm0","NDF"
"hz5mimz66g","NDF"
"73nkm3dfi2","NDF"
NA,"NDF"
"76tedfnr8i","NDF"
"nxcfjtlvdk","NDF"
"orggm6wtov","NDF"
NA,"NDF"
NA,"NDF"
"kbtgm5pzco","US"
NA,"NDF"
"kqma5e77n1","NDF"
NA,"NDF"
"b0w40kjpkt","US"
"w1v435riqc","NDF"
NA,"NDF"
"jcvpp2voxq","NDF"
NA,"NDF"
"qm7a2ypxk6","NDF"
"dg92uu1yci","NDF"
NA,"NDF"
NA,"NDF"
"95i97gcf4n","NDF"
"2seq9kopv3","NDF"
"low7m67hm4","NDF"
NA,"NDF"
"sg6tpb4g1f","NDF"
